,date,type_objet,nombre_objets_perdus
316,2016-05-13 00:00:00+00:00,"Vêtements, chaussures",248
317,2016-05-20 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",235
318,2016-05-20 00:00:00+00:00,"Articles d'enfants, de puériculture",21
319,2016-05-20 00:00:00+00:00,"Articles de sport, loisirs, camping",19
320,2016-05-20 00:00:00+00:00,Articles médicaux,11
321,2016-05-20 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",457
322,2016-05-20 00:00:00+00:00,"Bijoux, montres",12
323,2016-05-20 00:00:00+00:00,"Clés, porte-clés, badge magnétique",81
324,2016-05-20 00:00:00+00:00,Divers,34
325,2016-05-20 00:00:00+00:00,Instruments de musique,6
326,2016-05-20 00:00:00+00:00,"Livres, articles de papéterie",48
327,2016-05-20 00:00:00+00:00,Optique,120
328,2016-05-20 00:00:00+00:00,Parapluies,29
329,2016-05-20 00:00:00+00:00,Pièces d'identités et papiers personnels,170
330,2016-05-20 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",188
331,2016-05-20 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",14
332,2016-05-20 00:00:00+00:00,"Vêtements, chaussures",201
333,2016-05-27 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",265
334,2016-05-27 00:00:00+00:00,"Articles d'enfants, de puériculture",14
335,2016-05-27 00:00:00+00:00,"Articles de sport, loisirs, camping",22
336,2016-05-27 00:00:00+00:00,Articles médicaux,13
337,2016-05-27 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",469
338,2016-05-27 00:00:00+00:00,"Bijoux, montres",19
339,2016-05-27 00:00:00+00:00,"Clés, porte-clés, badge magnétique",88
340,2016-05-27 00:00:00+00:00,Divers,35
341,2016-05-27 00:00:00+00:00,Instruments de musique,2
342,2016-05-27 00:00:00+00:00,"Livres, articles de papéterie",52
343,2016-05-27 00:00:00+00:00,Optique,109
344,2016-05-27 00:00:00+00:00,Parapluies,38
345,2016-05-27 00:00:00+00:00,Pièces d'identités et papiers personnels,161
346,2016-05-27 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",230
347,2016-05-27 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",18
348,2016-05-27 00:00:00+00:00,"Vêtements, chaussures",258
349,2016-06-03 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",221
350,2016-06-03 00:00:00+00:00,"Articles d'enfants, de puériculture",15
351,2016-06-03 00:00:00+00:00,"Articles de sport, loisirs, camping",11
352,2016-06-03 00:00:00+00:00,Articles médicaux,11
353,2016-06-03 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",453
354,2016-06-03 00:00:00+00:00,"Bijoux, montres",15
355,2016-06-03 00:00:00+00:00,"Clés, porte-clés, badge magnétique",77
356,2016-06-03 00:00:00+00:00,Divers,32
357,2016-06-03 00:00:00+00:00,Instruments de musique,4
358,2016-06-03 00:00:00+00:00,"Livres, articles de papéterie",49
359,2016-06-03 00:00:00+00:00,Optique,118
360,2016-06-03 00:00:00+00:00,Parapluies,64
361,2016-06-03 00:00:00+00:00,Pièces d'identités et papiers personnels,135
362,2016-06-03 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",162
363,2016-06-03 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",14
364,2016-06-03 00:00:00+00:00,"Vêtements, chaussures",247
365,2016-06-10 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",208
366,2016-06-10 00:00:00+00:00,"Articles d'enfants, de puériculture",16
367,2016-06-10 00:00:00+00:00,"Articles de sport, loisirs, camping",14
368,2016-06-10 00:00:00+00:00,Articles médicaux,11
369,2016-06-10 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",366
370,2016-06-10 00:00:00+00:00,"Bijoux, montres",17
371,2016-06-10 00:00:00+00:00,"Clés, porte-clés, badge magnétique",75
372,2016-06-10 00:00:00+00:00,Divers,35
373,2016-06-10 00:00:00+00:00,Instruments de musique,5
374,2016-06-10 00:00:00+00:00,"Livres, articles de papéterie",44
375,2016-06-10 00:00:00+00:00,Optique,99
376,2016-06-10 00:00:00+00:00,Parapluies,12
377,2016-06-10 00:00:00+00:00,Pièces d'identités et papiers personnels,144
378,2016-06-10 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",201
379,2016-06-10 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",14
380,2016-06-10 00:00:00+00:00,"Vêtements, chaussures",235
381,2016-06-17 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",249
382,2016-06-17 00:00:00+00:00,"Articles d'enfants, de puériculture",12
383,2016-06-17 00:00:00+00:00,"Articles de sport, loisirs, camping",21
384,2016-06-17 00:00:00+00:00,Articles médicaux,12
385,2016-06-17 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",452
386,2016-06-17 00:00:00+00:00,"Bijoux, montres",19
387,2016-06-17 00:00:00+00:00,"Clés, porte-clés, badge magnétique",85
388,2016-06-17 00:00:00+00:00,Divers,38
389,2016-06-17 00:00:00+00:00,Instruments de musique,8
390,2016-06-17 00:00:00+00:00,"Livres, articles de papéterie",46
391,2016-06-17 00:00:00+00:00,Optique,88
392,2016-06-17 00:00:00+00:00,Parapluies,28
393,2016-06-17 00:00:00+00:00,Pièces d'identités et papiers personnels,163
394,2016-06-17 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",202
395,2016-06-17 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",16
396,2016-06-17 00:00:00+00:00,"Vêtements, chaussures",235
397,2016-06-24 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",258
398,2016-06-24 00:00:00+00:00,"Articles d'enfants, de puériculture",12
399,2016-06-24 00:00:00+00:00,"Articles de sport, loisirs, camping",27
400,2016-06-24 00:00:00+00:00,Articles médicaux,16
401,2016-06-24 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",497
